mol_id,smile,energy
7862349,[O:3]=[S:1]([O:2][CH2:6][CH2:9][CH2:12][CH2:14][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][CH2:22][CH2:23][CH2:24][C:25]([CH3:26])=[CH2:27])([C:5]1=[CH:7][CH:10]=[C:13]([CH3:15])[CH:11]=[CH:8]1)=[O:4],-1134.146381
7862350,[CH3:15][C:13]([CH2:11][CH2:9][CH2:7][CH2:5][CH2:3][CH2:1][CH2:2][CH2:4][CH2:6][CH2:8][CH2:10][CH2:12][CH2:14][OH:17])=[CH2:16],-113.2152091
7862351,[CH3:4][Si:1]([C:3]([CH3:8])([CH3:9])[CH3:7])([CH3:5])[O:2][CH2:6][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH2:20][CH2:21][C:22]([CH3:23])=[CH2:24],-1059.010688
7862353,[CH3:11][C@H:7]([C@H:10]([OH:14])[C@H:13]([CH3:16])[CH:15]=[CH2:17])[CH2:4][O:2][CH2:1][C:3]1=[CH:5][CH:8]=[CH:12][CH:9]=[CH:6]1,-734.7125034
7862356,[CH3:14][C@H:12]([C@@H:13]([OH:16])[C@@H:15]([CH3:18])[CH:17]=[CH2:19])[CH2:10][CH2:7][CH2:4][O:2][CH2:1][C:3]1=[CH:5][CH:8]=[CH:11][CH:9]=[CH:6]1,-813.2830362
7862374,[CH2:8]=[CH:6][CH2:4][CH2:2][CH2:1][CH2:3][CH2:5][CH:7]=[O:9],-388.1842267
7862410,[CH3:4][C:2]([O:1][CH2:3][CH:6]=[CH2:7])=[O:5],-460.0058414
7862416,[CH3:5][C:3]([CH2:1][O:2][C:4]([CH3:7])=[O:8])=[CH2:6],-384.824511
7862428,[CH3:7][C:4]([O:2][CH2:1][C:3]1=[CH:6][CH2:10][CH2:11][CH2:9][CH2:5]1)=[O:8],-501.4716481
7862553,[CH2:1]=[C:2]([CH2:4][CH2:7][O:6]1)[C:3]1=[O:5],-344.3239384
7862555,[O:4]=[C:1]([O:3][CH2:6][CH3:8])/[CH:2]=[CH:5]/[CH3:7],-384.8291534
7862622,[C-:6]#[O+:7],-231.0448749
7862644,[CH2:2]=[CH:1][CH:3]1[O:4][CH2:6][CH:8]([CH3:9])[CH2:7][O:5]1,-424.0629314
7862690,[CH2:4]=[CH:2][O:1][C:3]1=[CH:5][CH:7]=[CH:9][CH:8]=[CH:6]1,-499.0314575
7862735,[CH2:9]=[C:5]([CH:8]([CH3:13])[CH3:12])[CH2:2][CH:1]([O:4][CH2:7][CH3:11])[O:3][CH2:6][CH3:10],-582.416606
7862763,[CH2:2]=[CH:1][F:3],-177.7276554
7862804,[CH2:3]=[CH:1][C:2]#[N:4],-115.6449356
7862822,[CH2:6]=[CH:4][CH2:2][NH:1][CH2:3][CH:5]=[CH2:7],-289.7271978
7862823,[CH3:7][CH2:5][CH2:3][CH2:1][NH:2][CH2:4][CH:6]=[CH2:8],-330.2461187
7862824,[CH2:7]=[CH:4][CH2:2][NH:1][CH:3]1[CH2:5][CH2:8][CH2:10][CH2:9][CH2:6]1,-520.9180154
7862825,[CH3:7][C:4]([CH2:2][NH:1][CH:3]1[CH2:5][CH2:9][CH2:11][CH2:10][CH2:6]1)=[CH2:8],-446.8910521
7862826,[CH2:10]=[CH:7][CH2:4][NH:2][CH2:1][C:3]1=[CH:5][CH:8]=[CH:11][CH:9]=[CH:6]1,-556.5720599
7862827,[CH3:10][C:7]([CH2:4][NH:2][CH2:1][C:3]1=[CH:5][CH:8]=[CH:12][CH:9]=[CH:6]1)=[CH2:11],-482.5542223
7862828,[CH2:12]=[CH:10][CH2:7][NH:4][CH2:2][CH2:1][C:3]1=[CH:5][CH:8]=[CH:11][CH:9]=[CH:6]1,-595.8582689
7862829,[CH2:7]=[CH:4][CH2:2][NH:1][CH:3]1[CH2:5][CH2:8][CH2:10][CH2:12][CH2:11][CH2:9][CH2:6]1,-486.1612307
7862847,[CH2:6]=[CH:4][CH2:2][CH2:1][CH2:3][C:5]#[N:7],-403.0140321
7862905,[O:6]=[C:2]([O:5][CH3:9])[N:1]([CH2:4][CH:8]=[CH2:11])[CH2:3][CH:7]=[CH2:10],-517.4614031
7862908,[O:3]=[S:1]([NH:2][C:6]([CH2:10][CH:15]=[CH2:18])([CH3:11])[CH2:9][CH:14]=[CH2:17])([C:5]1=[CH:7][CH:12]=[C:16]([CH3:19])[CH:13]=[CH:8]1)=[O:4],-1027.733519
7862909,[CH2:7]=[CH:4][CH2:2][NH:1][C:3]1=[CH:5][CH:8]=[CH:10][CH:9]=[CH:6]1,-113.2152091
7862912,[O:6]=[C:2]([CH2:5][CH2:9][CH:10]=[CH2:11])[N:1]([CH2:4][CH3:8])[CH2:3][CH3:7],-482.8095637
7862919,[CH3:7][C:4]([CH2:2][NH:1][C:3]1=[CH:5][CH:9]=[CH:11][CH:10]=[N:6]1)=[CH2:8],-498.6109127
7862920,[CH3:7][C:4]([CH2:2][NH:1][C:3]1=[CH:5][CH:9]=[CH:11][CH:10]=[CH:6]1)=[CH2:8],-482.5814599
7862921,[CH3:7][C:4]([CH2:2][NH:1][C:3]1=[CH:5][CH:9]=[C:11]([O:12][CH3:13])[CH:10]=[CH:6]1)=[CH2:8],-597.023681
7862922,[CH3:7][C:4]([CH2:2][NH:1][C:3]1=[C:5]([O:9][CH3:12])[CH:10]=[CH:13][CH:11]=[CH:6]1)=[CH2:8],-597.019012
7862924,[CH3:7][C:4]([CH2:2][NH:1][C:3]1=[CH:5][CH:9]=[C:11]([Cl:12])[CH:10]=[CH:6]1)=[CH2:8],-496.9564788
7862925,[CH3:7][C:4]([CH2:2][NH:1][C:3]1=[CH:6][CH:11]=[CH:12][C:9]2=[C:5]1[CH:10]=[CH:14][CH:15]=[CH:13]2)=[CH2:8],-596.8034396
7862926,[CH2:8]=[C:4]([CH2:7][CH2:11][CH2:13][CH2:14][CH3:15])[CH2:2][NH:1][C:3]1=[CH:5][CH:9]=[CH:12][CH:10]=[CH:6]1,-639.7138483
7862941,[CH2:7]=[CH:4][CH2:2][NH:1][C:3]1=[C:5]([O:8][CH3:11])[CH:9]=[CH:12][CH:10]=[CH:6]1,-518.4378104
7862942,[CH2:7]=[CH:4][CH2:2][NH:1][C:3]1=[C:5]([CH3:8])[CH:9]=[CH:11][CH:10]=[CH:6]1,-482.5757062
7862943,[CH2:7]=[CH:4][CH2:2][NH:1][C:3]1=[CH:6][CH:10]=[CH:11][C:8]2=[C:5]1[CH:9]=[CH:13][CH:14]=[CH:12]2,-557.512338
7862951,[O:3]=[S:1]([NH:2][CH2:6]/[CH:9]=[CH:12]/[C:14]1=[C:16]([NH2:18])[CH:19]=[CH:21][CH:20]=[CH:17]1)([C:5]2=[CH:7][CH:10]=[C:13]([CH3:15])[CH:11]=[CH:8]2)=[O:4],-927.8863295
7862952,[O:6]=[C:2]([O:5][C:10]([CH3:14])([CH3:15])[CH3:13])[N:1]([CH2:4]/[CH:9]=[CH:12]/[C:19]1=[C:20]([NH2:22])[CH:23]=[CH:25][CH:24]=[CH:21]1)[C:3]([O:7][C:11]([CH3:17])([CH3:18])[CH3:16])=[O:8],-1150.488812
7862953,[O:6]=[C:2]([O:5][C:10]([CH3:14])([CH3:15])[CH3:13])[N:1]([CH2:4]/[CH:9]=[CH:12]/[C:19]1=[C:20]([NH2:22])[CH:23]=[CH:25][C:24]([CH3:26])=[CH:21]1)[C:3]([O:7][C:11]([CH3:17])([CH3:18])[CH3:16])=[O:8],-113.2152091
7862954,[O:7]=[C:3]([O:6][C:11]([CH3:15])([CH3:16])[CH3:14])[N:1]([C:4]([O:8][C:12]([CH3:18])([CH3:19])[CH3:17])=[O:9])[CH2:2]/[CH:5]=[CH:10]/[C:13]1=[C:20]([NH2:22])[CH:23]=[C:25]([C:26]([F:28])([F:29])[F:27])[CH:24]=[CH:21]1,-113.2152091
7862955,[O:6]=[C:2]([O:5][C:10]([CH3:14])([CH3:15])[CH3:13])[N:1]([CH2:4]/[CH:9]=[CH:12]/[C:19]1=[C:20]([NH2:22])[CH:23]=[C:25]([O:26][CH3:27])[CH:24]=[CH:21]1)[C:3]([O:7][C:11]([CH3:17])([CH3:18])[CH3:16])=[O:8],-113.2152091
7862956,[O:6]=[C:2]([O:5][C:10]([CH3:14])([CH3:15])[CH3:13])[N:1]([CH2:4]/[CH:9]=[CH:12]/[C:19]1=[C:20]([NH2:22])[C:23]([Br:25])=[CH:26][CH:24]=[CH:21]1)[C:3]([O:7][C:11]([CH3:17])([CH3:18])[CH3:16])=[O:8],-1201.173046
7862957,[O:7]=[C:3]([O:6][C:11]([CH3:15])([CH3:16])[CH3:14])[N:1]([C:4]([O:8][C:12]([CH3:18])([CH3:19])[CH3:17])=[O:9])[CH2:2]/[CH:5]=[CH:10]/[C:13]1=[C:20]([NH2:22])[C:23]([Br:25])=[CH:26][C:24]([Cl:27])=[CH:21]1,-1215.549367
7862958,[O:7]=[C:3]([O:6][C:11]([CH3:15])([CH3:16])[CH3:14])[N:1]([C:4]([O:8][C:12]([CH3:18])([CH3:19])[CH3:17])=[O:9])[CH2:2]/[CH:5]=[CH:10]/[C:13]1=[C:20]([NH2:22])[C:23]([F:25])=[CH:26][C:24]([Cl:27])=[CH:21]1,-1264.061833
7862959,[O:7]=[C:3]([O:6][C:11]([CH3:15])([CH3:16])[CH3:14])[N:1]([C:4]([O:8][C:12]([CH3:18])([CH3:19])[CH3:17])=[O:9])[CH2:2]/[CH:5]=[CH:10]/[C:13]1=[C:20]([NH2:22])[C:23]([F:25])=[CH:26][C:24]([F:27])=[CH:21]1,-1348.886054
7862960,[OH:7][CH2:4]/[CH:2]=[CH:1]/[C:3]1=[C:5]([NH2:8])[CH:9]=[CH:11][CH:10]=[CH:6]1,-517.2728322
7863007,[CH3:12]/[CH:10]=[CH:7]/[CH2:4][NH:2][CH2:1][C:3]1=[CH:5][CH:8]=[CH:11][CH:9]=[CH:6]1,-482.5528774
7863008,[CH3:10][C:7]([CH3:11])=[CH:4][CH2:2][NH:1][C:3]1=[CH:5][CH:8]=[CH:12][CH:9]=[CH:6]1,-483.7957733
7863018,[CH2:7]=[CH:4][CH2:2][N:1]([C:3]1=[CH:5][CH:8]=[CH:10][CH:9]=[CH:6]1)CC=C,-517.2889886
7863028,[CH2:8]=[CH:5][CH2:3][N:1](CC=C)[CH2:2][C:4]1=[CH:6][CH:9]=[CH:11][CH:10]=[CH:7]1,-556.5720601
7863031,[O:1]=[C:2]([CH:3]([CH:6]1[CH2:10][CH:9]2[CH:15]=[CH:11]1)[CH:5]2[C:7]3=[O:12])[N:4]3[C:8]4=[CH:13][CH:16]=[CH:18][CH:17]=[CH:14]4,-898.5023167
7863053,[CH3:9][CH2:6][O:3][P:1]([O:4][CH2:7][CH3:10])[O:2][CH2:5][CH2:8][CH:11]=[CH2:12],-661.3625804
7863128,[O:3]=[S:1]([C:4]1=[CH:6][CH:8]=[CH:10][CH:9]=[CH:7]1)[CH:2]=[CH2:5],-509.105298
7863140,[CH2:5]=[C:2]([CH:4]([CH3:9])[CH2:8][CH3:12])[CH2:1][CH:3]1[S:6][CH2:10][CH2:13][CH2:11][S:7]1,-565.6052982
7863155,[CH3:3][Si:1]([CH3:4])([CH3:5])[CH:2]=[CH2:6],-315.9980981
7863182,[CH3:6][CH2:2][Si:1]([CH2:4][CH3:8])([CH:5]=[CH2:9])[CH2:3][CH3:7],-319.3662626
7863188,[CH3:4][Si:1]([C:3]([CH3:8])([CH3:9])[CH3:7])([CH3:5])[O:2][CH2:6][CH2:10][CH2:11][CH2:12][CH:13]=[CH2:14],-666.1756465
7863198,[CH2:6]=[CH:2][Si:1]([C:4]1=[CH:9][CH:15]=[CH:20][CH:16]=[CH:10]1)([C:5]2=[CH:11][CH:17]=[CH:21][CH:18]=[CH:12]2)[C:3]3=[CH:7][CH:13]=[CH:19][CH:14]=[CH:8]3,-890.7425377
7863210,[O:9]=[C:6]([O:8][CH3:11])[CH2:4][CH2:2][CH2:1][CH2:3][CH2:5][CH2:7][CH2:10][CH2:12][CH:13]=[CH2:14],-734.9823004
7863311,[CH3:3]/[CH:1]=[CH:2]\[CH3:4],-157.1040904
7863317,[CH3:3]/[CH:1]=[CH:2]\[CH3:4],-271.5729532
7863329,[CH3:3]/[CH:1]=[CH:2]/[CH3:4],-157.1050969
7863354,[CH2:4]=[CH:2]/[CH:1]=[CH:3]/[CH3:5],-195.161682
7863355,[CH2:4]=[CH:2]/[CH:1]=[CH:3]\[CH3:5],-195.1602135
7863412,[CH3:3][CH:1]([CH3:4])[C:2]([CH3:5])=[CH2:6],-235.6741725
7863597,[CH2:2]=[CH:1][C:3]1=[CH:4][CH:6]=[CH:8][CH:7]=[CH:5]1,-309.4050315
7863868,[CH3:1][CH:2]1[CH2:4][CH2:8][CH:5]2[C:3]1([CH2:7][CH2:11][C:14]3=[CH2:15])[CH2:6][CH:10]3[C:9]2([CH3:13])[CH3:12],-700.0544401
7863912,[CH:2]#[C:1][C:3]1=[CH:4][CH:6]=[CH:8][CH:7]=[CH:5]1,-308.1471168
7863913,[CH:2]#[C:1][C:3]1=[CH:4][CH:6]=[CH:8][CH:7]=[CH:5]1,-752.9905074
7863914,[CH:2]#[C:1][C:3]1=[CH:4][CH:6]=[CH:8][CH:7]=[CH:5]1,-787.4408838
7863920,[C-:17]#[O+:18],-730.8909904
7864054,[O:1]=[C:2]([C:3]1=[CH:6][CH:10]=[CH:13][CH:9]=[C:5]1[C:8]2=[O:12])[N:4]2/[CH:7]=[CH:11]/[CH3:14],-743.797417
7826112,[O:5]=[C:2]([O:4][CH2:8][CH3:9])[C:1]([C:3]([CH3:6])=[O:7])=[N+]=[N-],-568.1836775
7826113,[N-]=[N+]=[C:1]([C:3]1=[O:6])[C:2]([CH2:5][CH2:8][CH2:7]1)=[O:4],-229.8465395
7826126,[O:4]=[C:1]([CH:3]=[N+]=[N-])[C:2]([O:5][CH3:7])=[O:6],-489.5921425
7826127,[CH3:1][C:2]([CH3:3])([O:5][CH:8]=[CH:7]1)[C:4]1=[O:6],-491.7953038
7826129,[N-]=[N+]=[C:1]([C:3]1=[O:6])[C:2]([CH2:5][C:8]([CH3:9])([CH3:10])[CH2:7]1)=[O:4],-309.4050314
7826133,[CH3:4][Si:1]([O:3][C:9]([C:10]([C:12]([O:13][C:15]([CH3:17])([CH3:18])[CH3:16])=[O:14])=[N+]=[N-])=[CH2:11])([CH3:5])[C:2]([CH3:7])([CH3:8])[CH3:6],-1049.786635
7826135,[O:5]=[C:2]([C:4](/[CH:8]=[CH:14]/[C:15]1=[CH:16][CH:18]=[CH:20][CH:19]=[CH:17]1)=[N+]=[N-])[O:1][C@@H:3]2[C:6]([CH3:9])([CH3:10])[CH2:11][O:13][C:7]2=[O:12],-1228.961228
7826146,[CH3:4][Si:1]([C:3]([CH3:8])([CH3:9])[CH3:7])([CH3:5])[O:2][C:6](/[CH:10]=[CH:12]/[CH3:13])=[CH2:11],-1005.939061
7826164,[O:5]=[C:2]([C:4]([C:8]([O:14][Si:16]([CH3:18])([CH3:19])[C:17]([CH3:21])([CH3:22])[CH3:20])=[CH2:15])=[N+]=[N-])[O:1][C@@H:3]1[C:6]([CH3:9])([CH3:10])[CH2:11][O:13][C:7]1=[O:12],-1234.593246
7826183,[CH3:4][Si:2]([CH3:5])([CH3:6])[O:1][C@H:3]1[CH:8]=[CH:11][C@:10]2([H])[C@:7]1([CH2:9][C:12]3([O:14][CH2:16][C:18]([CH3:19])([CH3:20])[CH2:17][O:15]3)[CH2:13]2)[H],-1161.837905
7826192,[CH3:5][C@@:3]([C@H:6]1[O:10][Si:13]([CH3:17])([CH3:18])[C:16]([CH3:23])([CH3:24])[CH3:22])([CH:7]=[C:12]([C:15]2([CH3:19])[CH2:20][CH2:25][CH2:27][CH:26]=[CH:21]2)[CH2:14][CH2:11]1)[CH2:1][O:2][C:4]([CH:8]=[N+]=[N-])=[O:9],-1237.505461
7826235,[O:5]=[C:2]([O:4][CH3:8])[C:1]([C:3]1=[CH:7][CH2:10][C:9]([CH3:11])([CH3:12])[CH2:6]1)=[N+]=[N-],-648.9110423
7826253,[O:3]=[N:2]([CH:1]=[N+]=[N-])=[O:4],-400.7503502
7826255,[O:3]=[N:2]([CH:1]=[N+]=[N-])=[O:4],-479.3183727
7826261,[O:4]=[C:1]([O:3][CH2:5][CH3:6])[CH:2]=[N+]=[N-],-107.2710096
7826266,[CH3:4][Si:2]([CH3:5])([CH3:6])[O:1]/[CH:3]=[CH:7]/[CH3:8],-316.0168226
7826269,[CH3:10][Si:7]([CH3:11])([CH3:12])[O:4]/[CH:2]=[CH:1]/[C:3]1=[CH:5][CH:8]=[CH:13][CH:9]=[CH:6]1,-507.6064988
7826301,[CH3:6][O:3][C:1]([O:4][CH3:7])=[CH:2][CH2:5][CH3:8],-385.9913108
7826302,[CH3:8][O:4][C:2]([O:5][CH3:9])=[CH:1][C:3]1=[CH:6][CH:10]=[CH:12][CH:11]=[CH:7]1,-538.2987155
7826340,[O:4]=[C:1]([O:3][CH2:5][CH3:6])[CH:2]=[N+]=[N-],-306.2510293
7826353,[O:4]=[C:1]([O:3][CH3:5])[CH:2]=[N+]=[N-],-355.3043346
7826356,[CH2:7]=[CH:4][C@@H:1]([CH2:3][O:6][Si:10]([CH3:13])([CH3:14])[C:12]([CH3:19])([CH3:20])[CH3:18])[NH:2][C:5]([O:8][C:11]([CH3:16])([CH3:17])[CH3:15])=[O:9],-1180.324691
7826386,[O:4]=[C:1]([O:3][CH2:5][CH3:6])[CH:2]=[N+]=[N-],-232.2663
7826408,[CH3:5][C:1]([CH:3]([CH3:8])[CH3:7])([CH:4]([CH3:10])[CH3:9])[O:2][C:6]([CH:11]=[N+]=[N-])=[O:12],-232.2663
7826411,[CH3:7][CH:2]([CH2:6][CH3:12])[C:1]([CH2:4][CH2:9][CH2:15][CH3:16])([CH:5]([CH3:11])[CH3:10])[O:3][C:8]([CH:13]=[N+]=[N-])=[O:14],-232.2663
7826412,[O:5]=[C:2]([CH:4]=[N+]=[N-])[O:1][C:3]1=[C:6]([C:8]([CH3:13])([CH3:14])[CH3:12])[CH:9]=[C:15]([CH3:19])[CH:11]=[C:7]1[C:10]([CH3:17])([CH3:18])[CH3:16],-1044.391336
7826414,[O:26]=[C:23]([O:25][CH2:27][CH3:28])[CH:24]=[N+]=[N-],-960.9620407
7826415,[CH3:4][Si:2]([CH3:5])([CH3:6])[O:1][C:3]1=[CH:8][CH2:10][CH2:9][CH2:7]1,-393.3757451
7826429,[CH3:9][CH:5]([CH3:10])[C:1]([CH2:3][CH:7]([CH3:14])[CH3:13])([CH2:4][CH2:8][CH3:15])[O:2][C:6]([CH:11]=[N+]=[N-])=[O:12],-769.18921
7826430,[O:5]=[C:2]([CH:4]=[N+]=[N-])[O:1][C:3]1=[C:6]([C:8]([CH3:13])([CH3:14])[CH3:12])[CH:9]=[C:15]([CH3:19])[CH:11]=[C:7]1[C:10]([CH3:17])([CH3:18])[CH3:16],-1007.304694
7826441,[O:5]=[C:2]([CH:4]=[N+]=[N-])[O:1][C:3]1=[C:6]([C:8]([CH3:13])([CH3:14])[CH3:12])[CH:9]=[C:15]([CH3:19])[CH:11]=[C:7]1[C:10]([CH3:17])([CH3:18])[CH3:16],-1082.464245
7826463,[CH3:8][CH:4]([CH3:9])[C:1]([CH2:3][CH2:7][CH3:14])([CH:5]([CH3:11])[CH3:10])[O:2][C:6]([CH:12]=[N+]=[N-])=[O:13],-729.9001974
7826465,[O:5]=[C:2]([CH:4]=[N+]=[N-])[O:1][C:3]1=[C:6]([CH:8]([CH3:13])[CH3:12])[CH:9]=[C:14]([CH3:17])[CH:11]=[C:7]1[CH:10]([CH3:16])[CH3:15],-929.9658025
7826466,[CH3:5][CH2:3][CH2:1][O:2][CH:4]=[CH2:6],-415.6393444
7826472,[O:4]=[C:1]([O:3][CH3:5])[CH:2]=[N+]=[N-],-271.5581464
7826473,[CH3:4][C:2]([CH3:5])=[CH:1][O:3][CH3:6],-271.5480566
7826477,[O:35]=[C:32]([O:34][CH2:36][CH3:37])[CH:33]=[N+]=[N-],-1651.837638
7826478,[CH3:5][Si:2]([C:4]([CH3:10])([CH3:11])[CH3:9])([CH3:6])[O:1][C@H:3]([C@H:8]1[CH2:14][O:18][Si:22]([CH3:27])([CH3:28])[C:26]([CH3:30])([CH3:31])[CH3:29])[C@@H:7]([CH:13]=[CH:17][O:15]1)[O:12][Si:16]([CH3:20])([CH3:21])[C:19]([CH3:24])([CH3:25])[CH3:23],-1564.029046
7826479,[O:4]=[C:2]([C:5]1=[CH:8][CH:14]=[CH:19][CH:15]=[CH:9]1)[O:1][C@H:3]([C@H:7]2[CH2:12][O:18][C:22]([C:26]3=[CH:29][CH:32]=[CH:34][CH:33]=[CH:30]3)=[O:25])[C@@H:6]([CH:11]=[CH:17][O:13]2)[O:10][C:16]([C:21]4=[CH:23][CH:27]=[CH:31][CH:28]=[CH:24]4)=[O:20],-1567.550049
